label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.011707317	0.000487805	0.02	0.016097561	0	0.010243902	0.011707317	0.014634146	0.005365854	0.016097561	0.014634146	0.002926829	0.008292683	0.014146341	0.009756098	0.011707317	0.014146341	0.002439024	0.015609756	0.014146341
1	0.0068	0.02	0.0052	0.0124	0	0.0116	0.0164	0.0096	0.0064	0.0176	0.0136	0.0152	0.0124	0.0072	0.0084	0.0088	0.0092	0.0028	0.0068	0.0124
1	0.019090909	0.014545455	0.007727273	0.007272727	0	0.02	0.011818182	0.013636364	0.006818182	0.010454545	0.009545455	0.008636364	0.005909091	0.004090909	0.006363636	0.009090909	0.000909091	0.002727273	0.010454545	0.010909091
1	0.006956522	0.009130435	0.017826087	0.009130435	0	0.013043478	0.012608696	0	0.006956522	0.017391304	0.02	0.01	0.012173913	0.008695652	0.011304348	0.01	0.007826087	0.003043478	0.01173913	0.015652174
1	0.010416667	0.017916667	0.003333333	0.012916667	0	0.0125	0.018333333	0.01	0.005416667	0.01125	0.018333333	0.010833333	0.02	0.01375	0.01375	0.0075	0.01125	0.001666667	0.00625	0.013333333
1	0.0088	0.02	0.0052	0.0092	0	0.0116	0.0152	0.0096	0.0064	0.0168	0.0132	0.0136	0.0132	0.0064	0.01	0.0096	0.0092	0.0032	0.0072	0.0132
1	0.015263158	0.010526316	0.02	0.007368421	0	0.014210526	0.009473684	0.009473684	0.005263158	0.012105263	0.015263158	0.012631579	0.012105263	0.007894737	0.003684211	0.011578947	0.013684211	0.02	0.012105263	0.008947368
1	0.010943396	0.007924528	0.010566038	0.009811321	0	0.018867925	0.01245283	0.006415094	0.00754717	0.013207547	0.006415094	0.003018868	0.004150943	0.00490566	0.003018868	0.008301887	0.007169811	0.004150943	0.012075472	0.009433962
1	0.018148148	0.005185185	0.006666667	0.00962963	0.002962963	0.006296296	0.004444444	0.003703704	0.00037037	0.007407407	0.008148148	0.003703704	0.005925926	0	0.02	0.013333333	0.007037037	0	0	0.008518519
1	0.007555556	0.017333333	0.005777778	0.010222222	0	0.010222222	0.014222222	0.008	0.003111111	0.018666667	0.015111111	0.013777778	0.016888889	0.005333333	0.017333333	0.006666667	0.008444444	0.001777778	0.005333333	0.013777778
1	0.010714286	0.010714286	0.0075	0.015	0	0.008928571	0.011071429	0.006428571	0.004285714	0.014642857	0.02	0.006785714	0.011071429	0.005714286	0.002857143	0.006785714	0.002142857	0.002142857	0.007142857	0.01
1	0.008372093	0.008372093	0.01255814	0.017209302	0	0.015348837	0.02	0.006046512	0.002790698	0.012093023	0.017209302	0.015813953	0.010232558	0.008837209	0	0.011162791	0.009302326	0.007906977	0.014883721	0.009302326
1	0.010243902	0.02	0.007317073	0.013658537	0	0.013658537	0.016097561	0.010243902	0.006829268	0.017560976	0.02	0.017560976	0.01804878	0.011707317	0.015609756	0.011707317	0.013658537	0.005365854	0.009268293	0.014146341
1	0.007017544	0.009824561	0.015438596	0.005263158	0	0.012982456	0.007719298	0.004210526	0.001052632	0.016842105	0.02	0.009473684	0.010526316	0.004210526	0	0.013684211	0.009473684	0.000701754	0.004561404	0.010175439
1	0.012765957	0.018297872	0.004680851	0.013617021	0	0.013617021	0.018723404	0.009787234	0.003829787	0.013617021	0.02	0.00893617	0.02	0.013617021	0.015319149	0.007659574	0.009787234	0.001702128	0.007234043	0.012340426
1	0.013333333	0.003111111	0.012888889	0.017777778	0	0.009777778	0.02	0.004444444	0.001333333	0.008888889	0.008888889	0.008888889	0.005333333	0.003111111	0.012444444	0.016	0.008	0.004888889	0.002222222	0.008888889
1	0.0084	0.02	0.0048	0.0104	0	0.01	0.0152	0.0092	0.0056	0.018	0.0132	0.0148	0.0136	0.0076	0.0088	0.0096	0.01	0.0032	0.0072	0.0136
1	0.016410256	0.010769231	0.009230769	0.015384615	0	0.00974359	0.016410256	0.012307692	0.001538462	0.010769231	0.010769231	0.011282051	0.006153846	0.005128205	0.017948718	0.02	0.004102564	0.006666667	0.006153846	0.00974359
1	0.017446809	0.012340426	0.004680851	0.016170213	0	0.007234043	0.006382979	0.005106383	0.004255319	0.016170213	0.02	0.008510638	0.018297872	0.009361702	0	0.015319149	0.014468085	0.001702128	0.008085106	0.012765957
1	0.00744186	0.013488372	0.00744186	0.013488372	0	0.010697674	0.014883721	0.010232558	0.00372093	0.019069767	0.019069767	0.015813953	0.018604651	0.008372093	0.011627907	0.006976744	0.012093023	0.002325581	0.007906977	0.013488372
1	0.011904762	0.014285714	0.005238095	0.013333333	0	0.011428571	0.016190476	0.012857143	0.007142857	0.013333333	0.01952381	0.007619048	0.01952381	0.01047619	0.02	0.01047619	0.012380952	0.002857143	0.008571429	0.011904762
1	0.006818182	0.014090909	0.004090909	0.009545455	0	0.013636364	0.012272727	0.010454545	0.006363636	0.015	0.016363636	0.011363636	0.011363636	0.010909091	0.02	0.009090909	0.010909091	0.01	0.007727273	0.011818182
1	0.008444444	0.019555556	0.008	0.014222222	0	0.011111111	0.016888889	0.009777778	0.005333333	0.018666667	0.015555556	0.016888889	0.017333333	0.008888889	0.011555556	0.009333333	0.010222222	0.001333333	0.008	0.015111111
1	0.01025641	0.012307692	0.001538462	0.00974359	0	0.010769231	0.015897436	0.01025641	0.006153846	0.015384615	0.02	0.00974359	0.017435897	0.006153846	0.02	0.017435897	0.016410256	0.004615385	0.004102564	0.012820513
1	0.017777778	0.015111111	0.008	0.008	0	0.02	0.012888889	0.002666667	0.002666667	0.012	0.019111111	0.010222222	0.013333333	0.002666667	0.003111111	0.012444444	0.004	0.001777778	0.006222222	0.008
1	0.012982456	0.014385965	0.012280702	0.015087719	0	0.02	0.009122807	0.003157895	0.001052632	0.008070175	0.017894737	0.008070175	0.004912281	0.004561404	0.005263158	0.009122807	0.005964912	0.004561404	0.012982456	0.008070175
1	0.009189189	0.018918919	0.007567568	0.012432432	0.003783784	0.015135135	0.015675676	0.014054054	0	0.016216216	0.018918919	0.011891892	0.014594595	0.007567568	0.015135135	0.012432432	0.013513514	0.000540541	0.005945946	0.012972973
1	0.009333333	0.019111111	0.007555556	0.010666667	0	0.014222222	0.014666667	0.010222222	0.003111111	0.013777778	0.011555556	0.014222222	0.010666667	0.010222222	0.008888889	0.009333333	0.007555556	0.002222222	0.010222222	0.011555556
1	0.010416667	0.016666667	0.006666667	0.012916667	0	0.01625	0.02	0.008333333	0.005833333	0.010833333	0.017916667	0.010416667	0.01875	0.01375	0.012916667	0.0075	0.008333333	0.002916667	0.010833333	0.01125
1	0.004897959	0.017959184	0.00122449	0.010612245	0	0.013469388	0.013061224	0.009387755	0.008571429	0.009795918	0.011836735	0.008979592	0.009795918	0.011020408	0.004489796	0.006122449	0.007755102	0.00244898	0.011836735	0.009387755
1	0.010909091	0.017727273	0.002727273	0.016363636	0	0.012272727	0.02	0.009545455	0.005454545	0.014545455	0.02	0.010909091	0.02	0.011818182	0.015909091	0.006363636	0.010454545	0.002727273	0.005454545	0.014090909
1	0.006521739	0.02	0.006086957	0.013913043	0	0.011304348	0.01826087	0.010869565	0.004347826	0.02	0.015217391	0.016086957	0.014347826	0.010434783	0.010869565	0.009130435	0.011304348	0.003043478	0.008695652	0.013913043
1	0.006666667	0.014222222	0.007555556	0.015111111	0	0.009777778	0.016888889	0.009777778	0.001333333	0.019555556	0.016444444	0.016888889	0.017333333	0.007111111	0.011555556	0.005777778	0.012444444	0.002666667	0.006222222	0.014666667
1	0.0095	0.0125	0.004	0.014	0	0.008	0.0125	0.009	0.001	0.014	0.016	0.0075	0.012	0.02	0.012	0.016	0.014	0.0015	0.011	0.014
1	0.009130435	0.012608696	0.00826087	0.014347826	0	0.015217391	0.018695652	0.005217391	0.009130435	0.015652174	0.02	0.01	0.019130435	0.013043478	0.016086957	0.005217391	0.007391304	0.002173913	0.013478261	0.012173913
1	0.011111111	0.014444444	0.005555556	0.018888889	0	0.011111111	0.019444444	0.013333333	0.01	0.017222222	0.02	0.008888889	0.013333333	0.002222222	0.019444444	0.011666667	0.005	0.006666667	0.007222222	0.015
1	0.012	0.017777778	0.003111111	0.012888889	0	0.011555556	0.02	0.010222222	0.004	0.011555556	0.018666667	0.009333333	0.02	0.013777778	0.018222222	0.008444444	0.010666667	0.002222222	0.007555556	0.011111111
1	0.01030303	0.012121212	0.000606061	0.016363636	0.004242424	0.016363636	0.015757576	0.016363636	0.011515152	0.015757576	0.015151515	0.01030303	0.016969697	0.00969697	0.006060606	0.013939394	0.006060606	0	0.014545455	0.013939394
