label	pse_pssm0	pse_pssm1	pse_pssm2	pse_pssm3	pse_pssm4	pse_pssm5	pse_pssm6	pse_pssm7	pse_pssm8	pse_pssm9	pse_pssm10	pse_pssm11	pse_pssm12	pse_pssm13	pse_pssm14	pse_pssm15	pse_pssm16	pse_pssm17	pse_pssm18	pse_pssm19	pse_pssm20	pse_pssm21	pse_pssm22	pse_pssm23	pse_pssm24	pse_pssm25	pse_pssm26	pse_pssm27	pse_pssm28	pse_pssm29	pse_pssm30	pse_pssm31	pse_pssm32	pse_pssm33	pse_pssm34	pse_pssm35	pse_pssm36	pse_pssm37	pse_pssm38	pse_pssm39
1	0.396521775	-0.305433408	0.24172329	0.015420741	-0.505658872	0.21546602	0.111733277	-0.045122853	-0.126946467	0.014334067	-0.055674156	-0.048958557	0.116183982	-0.195581	-0.20860636	0.425929865	0.520572901	-0.765175004	0.0078687	0.191402058	2.222673981	0.353228304	3.554486357	3.243324692	0.465934286	1.478896044	1.728430271	3.984263349	1.162101267	2.782548316	2.907297441	0.691434343	0.919403354	2.902942	1.783937326	1.590604346	1.745336502	1.146917848	3.232147991	2.221006685
1	0.221604409	0.362763849	-0.004062414	-0.079981069	-0.7972657	0.391969044	0.237938929	-0.223195667	-0.089824201	0.059869591	0.024446948	0.388107191	0.207423129	-0.370231708	-0.315638575	0.325574439	0.379142759	-0.641018299	-0.257368736	0.179746082	0.964958275	2.343215037	1.552215331	2.127833676	0.546397457	1.108228523	2.480233284	2.362230304	1.392046811	3.589468151	2.516208958	1.666414249	1.90859353	1.505435145	2.247520277	1.373348534	1.304756716	1.265222292	1.453256655	2.510185696
1	0.782879894	0.281467984	0.030107307	-0.192037185	-0.39046106	0.5145326	0.251672297	0.059023457	-0.091127594	-0.294354684	-0.210488853	0.198081132	0.069328428	-0.574364163	-0.186063276	0.475862716	0.15809112	-0.726621625	-0.231055863	0.07552737	2.906470056	2.177787203	1.594156	2.034490532	0.655700261	2.055709775	1.234244568	3.437167457	1.469793836	2.234476245	2.096160612	0.689960645	0.830299233	0.998105484	1.571518782	0.971561727	0.207095124	0.538899871	1.933561189	1.968464918
1	0.216388034	0.050808368	0.138346243	-0.217865451	-0.459721373	0.286542208	0.116570589	-0.536662359	-0.063369595	0.141987343	0.180292911	0.142027082	0.314750764	-0.204189469	-0.210448127	0.254385807	0.377222542	-0.726108285	-0.054480379	0.253523146	1.19788334	1.807059411	2.902115979	1.966521477	0.594712462	1.648195996	1.684117105	0.636582576	1.138820322	3.094692372	3.591430884	1.894048781	1.380397572	2.534826007	2.35309202	1.414627878	1.309360272	1.143723884	2.194317701	2.432134779
1	0.446228677	0.290779147	-0.109563407	-0.064173016	-0.730038268	0.332789176	0.263502765	-0.203222697	-0.047425457	-0.096518555	0.101440742	0.175750442	0.316666654	-0.247441495	-0.185615558	0.289583565	0.360297355	-0.78707085	-0.304945051	0.198975831	1.349393127	2.402001877	0.920147475	2.249786981	0.529493155	1.457240361	1.988926594	2.242521776	1.006775785	2.385119072	3.23764537	1.479504471	2.643093904	2.405497992	3.290366312	1.233825195	1.869219209	1.015960335	1.175043571	1.87269296
1	0.273127175	0.351588628	-0.022009869	-0.136654517	-0.749067708	0.353371729	0.197705387	-0.182519644	-0.055174896	0.043645493	-0.008049727	0.331939357	0.220950785	-0.342543704	-0.300879053	0.327503757	0.412472781	-0.618582464	-0.263481466	0.166657955	1.299895586	2.319582368	1.475442853	2.146914853	0.618198789	1.21324286	2.563648682	2.367252894	1.223710174	3.501786843	2.721720432	1.666229245	2.171345196	1.394184581	2.425014245	1.574558565	1.408802393	1.364111861	1.6837484	2.950868501
1	0.46986569	0.11810608	0.222827142	-0.241120718	-0.358180482	0.301121466	0.070897121	-0.168269475	-0.189607995	-0.18253515	-0.015954012	0.200395881	0.214007885	-0.366318114	-0.333266262	0.457367101	0.485585323	-0.534905653	-0.186985379	0.036969551	2.3521106	1.609647181	3.211183218	1.593104604	0.630481957	1.765194535	1.145150077	2.976404861	0.906360964	2.494431902	2.842747357	1.610163604	1.323384401	1.896553299	0.892393249	0.815478515	2.965497933	3.356512189	1.695272312	1.791159016
1	0.506121815	0.092084652	0.251214114	-0.03165829	-0.60955252	0.628397378	0.308902465	-0.253848661	-0.062969525	-0.005119397	-0.186087897	0.110843405	0.052062625	-0.468542835	-0.387476491	0.459671859	0.372437236	-0.775128011	-0.102935327	0.101583406	1.476323603	2.20158789	2.121438532	2.854769071	0.647023573	2.676968003	2.37182212	2.628729299	1.658133074	3.917240769	2.532587116	0.735252159	1.315716913	1.740645216	0.811464284	1.141202652	0.998963816	1.529955731	2.508668165	2.300548604
1	0.972403078	-0.064581174	0.04479107	-0.056136617	-0.244812155	0.248915509	0.09292466	-0.08698523	-0.362804443	-0.137106951	-0.12682475	0.125592427	0.115399066	-0.697919721	0.318173919	0.753090401	0.538776104	-1.087903195	-0.563729579	0.218737579	2.686530069	1.235378103	1.426947463	2.544337349	1.439759016	1.183514096	1.225489889	1.947318638	0.591065467	2.582677314	2.605848332	0.799486979	1.387657694	0.656130528	5.689105493	1.560743483	1.34044779	0.312902953	0.260586567	2.518564206
1	0.252930471	0.317183498	0.046134659	-0.102359503	-0.678433897	0.300442257	0.176602374	-0.27742067	-0.174862641	0.04877703	0.055537383	0.305773515	0.308437217	-0.411707737	-0.093973871	0.328386012	0.362988111	-0.715680703	-0.228990823	0.180237317	1.47905662	2.213255187	1.118643011	2.223030466	0.708062546	1.245042691	2.167222689	2.359422761	1.069269125	2.749238507	2.282876033	1.82120439	1.922536461	1.535900175	4.353712628	1.032939907	1.413305905	1.026730907	1.226612964	2.208353605
