label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.011891892	0.008648649	0.015675676	0.017837838	0	0.004324324	0.01027027	0.012972973	0.008108108	0.015675676	0.017297297	0.015135135	0.011891892	0.016216216	0.004324324	0.02	0.00972973	0.004324324	0.016216216	0.012972973
1	0.007826087	0.017391304	0.000869565	0.00826087	0	0.013043478	0.016086957	0	0.01173913	0.00826087	0.014347826	0.012608696	0.009565217	0.013913043	0.009130435	0.002173913	0.00173913	0.014782609	0.00826087	0.003478261
1	0.008510638	0.010638298	0.003404255	0.002978723	0.00212766	0.002553191	0.000425532	0.002553191	0	0.012340426	0.015319149	0.006382979	0.016595745	0.01106383	0.011489362	0.00893617	0.003404255	0.002553191	0.008085106	0.01106383
1	0.003478261	0.00826087	0.016521739	0.013043478	0.007826087	0.012608696	0.019565217	0.006956522	0.01173913	0.019130435	0.01826087	0.012608696	0.013913043	0.008695652	0.003913043	0.008695652	0.006086957	0	0.010434783	0.012608696
1	0.012888889	0.013777778	0.004888889	0.014666667	0	0.008444444	0.013333333	0.013333333	0.000888889	0.012444444	0.02	0.006666667	0.016888889	0.007555556	0	0.008	0.007555556	0.016888889	0.005333333	0.008444444
1	0.011923077	0.02	0.002307692	0.005384615	0	0.010769231	0.01	0.004615385	0.006153846	0.008846154	0.011538462	0.01	0.007692308	0.005384615	0.010769231	0.007692308	0.003076923	0.009230769	0.005384615	0.006923077
1	0.018139535	0.01627907	0.005581395	0.011627907	0	0.013953488	0.013023256	0.013953488	0.001860465	0.013488372	0.02	0.009767442	0.015348837	0.00372093	0	0.011162791	0.005116279	0.006046512	0.002325581	0.010697674
1	0.003809524	0.013333333	0.004285714	0.000952381	0.000952381	0.01047619	0.006190476	0.005238095	0.00952381	0.016190476	0.016666667	0.011904762	0.012380952	0.003809524	0.004285714	0.004761905	0.003809524	0	0.01	0.012857143
1	0.016521739	0.005217391	0.006086957	0.002608696	0	0.02	0.012173913	0.010434783	0.000869565	0.014347826	0.013043478	0.007826087	0.016521739	0.003043478	0	0.01	0.009565217	0.004782609	0.002173913	0.015217391
1	0.013333333	0.018888889	0.003333333	0.008888889	0	0.01	0.011111111	0.01	0.001111111	0.018888889	0.02	0.018333333	0.015555556	0.011666667	0.011666667	0.013333333	0.010555556	0.002777778	0.008888889	0.016666667
1	0.011	0.0135	0.0035	0.007	0.0075	0.0125	0.0055	0.0035	0	0.0135	0.016	0.0085	0.0175	0.0015	0.009	0.0075	0.002	0.011	0.0065	0.0125
1	0.02	0.006808511	0.00893617	0.006808511	0	0.010212766	0.009787234	0.002553191	0.00893617	0.012765957	0.012765957	0.011914894	0.010638298	0.003404255	0.005106383	0.014893617	0.009787234	0.001702128	0.008085106	0.00893617
1	0.007407407	0.010740741	0	0.001111111	0.002592593	0.012222222	0.009259259	0.001111111	0.001851852	0.018888889	0.017037037	0.008148148	0.01	0.007037037	0.001851852	0.006666667	0.004814815	0.01	0.007777778	0.013333333
1	0.01	0.009166667	0.014583333	0.007916667	0	0.01	0.0125	0.0025	0.002916667	0.02	0.01875	0.0125	0.012083333	0.00625	0.006666667	0.010833333	0.001666667	0.001666667	0.005416667	0.015833333
1	0.005762712	0.010847458	0.005762712	0.02	0	0.008813559	0.01220339	0.008135593	0.003728814	0.00779661	0.008135593	0.008474576	0.005762712	0.007118644	0.009491525	0.003389831	0.002033898	0.001694915	0.006101695	0.006440678
