label	alphaticr.alphaticr	alphaticr.aromatic	alphaticr.postivecharger	alphaticr.negativecharger	alphaticr.uncharger	aromatic.alphaticr	aromatic.aromatic	aromatic.postivecharger	aromatic.negativecharger	aromatic.uncharger	postivecharger.alphaticr	postivecharger.aromatic	postivecharger.postivecharger	postivecharger.negativecharger	postivecharger.uncharger	negativecharger.alphaticr	negativecharger.aromatic	negativecharger.postivecharger	negativecharger.negativecharger	negativecharger.uncharger	uncharger.alphaticr	uncharger.aromatic	uncharger.postivecharger	uncharger.negativecharger	uncharger.uncharger
1	0.204081633	0.020408163	0.06122449	0.020408163	0.081632653	0.020408163	0.020408163	0	0.040816327	0.040816327	0.06122449	0	0.040816327	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.020408163	0.040816327	0.06122449	0.06122449	0.020408163	0.020408163	0.06122449
1	0.102040816	0.040816327	0.102040816	0.06122449	0.020408163	0.06122449	0	0.040816327	0	0.040816327	0.06122449	0.020408163	0.020408163	0.040816327	0.040816327	0.020408163	0.040816327	0.020408163	0.020408163	0.06122449	0.06122449	0.040816327	0	0.06122449	0.020408163
1	0.326530612	0.06122449	0.06122449	0	0.12244898	0.020408163	0	0	0.020408163	0.020408163	0.040816327	0	0	0	0.040816327	0.020408163	0	0.020408163	0	0	0.142857143	0	0.020408163	0.020408163	0.06122449
1	0.204081633	0.040816327	0.06122449	0.020408163	0.102040816	0.020408163	0	0	0.020408163	0.020408163	0.020408163	0.020408163	0	0.040816327	0	0.040816327	0	0.020408163	0.040816327	0.06122449	0.142857143	0	0	0.040816327	0.081632653
1	0.285714286	0.081632653	0.040816327	0.020408163	0.081632653	0.081632653	0.020408163	0	0	0	0.06122449	0	0	0.040816327	0	0.06122449	0	0.040816327	0.06122449	0	0.020408163	0	0.020408163	0.040816327	0.040816327
1	0.163265306	0.020408163	0.081632653	0.020408163	0.081632653	0.020408163	0.020408163	0.020408163	0.020408163	0	0.06122449	0	0.102040816	0.020408163	0.06122449	0.020408163	0.020408163	0.020408163	0	0.040816327	0.102040816	0.020408163	0.020408163	0.040816327	0.020408163
1	0.306122449	0.040816327	0.06122449	0.020408163	0.142857143	0	0	0	0.040816327	0	0.040816327	0	0.040816327	0.020408163	0.020408163	0.081632653	0	0.020408163	0	0	0.12244898	0	0	0.040816327	0
1	0.204081633	0.06122449	0.102040816	0	0.06122449	0.040816327	0	0.020408163	0	0.020408163	0.081632653	0	0.040816327	0.020408163	0.06122449	0	0	0	0	0.040816327	0.102040816	0.020408163	0.040816327	0.020408163	0.06122449
1	0.346938776	0	0.020408163	0.020408163	0.183673469	0.020408163	0	0	0	0.020408163	0.020408163	0.020408163	0	0	0	0	0	0	0	0.040816327	0.163265306	0.020408163	0.020408163	0.020408163	0.081632653
1	0.163265306	0.040816327	0.040816327	0.06122449	0.12244898	0.040816327	0	0.020408163	0	0.020408163	0.102040816	0.020408163	0.020408163	0.020408163	0.020408163	0.06122449	0	0.020408163	0	0	0.06122449	0.020408163	0.081632653	0	0.06122449
