label	pse_pssm0	pse_pssm1	pse_pssm2	pse_pssm3	pse_pssm4	pse_pssm5	pse_pssm6	pse_pssm7	pse_pssm8	pse_pssm9	pse_pssm10	pse_pssm11	pse_pssm12	pse_pssm13	pse_pssm14	pse_pssm15	pse_pssm16	pse_pssm17	pse_pssm18	pse_pssm19	pse_pssm20	pse_pssm21	pse_pssm22	pse_pssm23	pse_pssm24	pse_pssm25	pse_pssm26	pse_pssm27	pse_pssm28	pse_pssm29	pse_pssm30	pse_pssm31	pse_pssm32	pse_pssm33	pse_pssm34	pse_pssm35	pse_pssm36	pse_pssm37	pse_pssm38	pse_pssm39
1	0.381955325	-0.064888414	0.221186533	0.026367287	-0.423829672	0.141557348	0.129455609	-0.031477091	-0.103033259	-0.1268885	-0.173950553	0.231431956	0.099128964	-0.200906398	-0.317653446	0.579480635	0.392839081	-0.755662614	-0.068385672	0.063272877	1.748500842	1.171118052	2.312920715	3.085174196	0.565075383	0.51413789	1.175630506	3.56216733	1.158262259	2.793437925	3.089427068	1.941718144	1.448699635	3.027406208	1.017702607	2.402821352	1.154549753	1.197505698	2.009495196	1.981842556
1	0.252921913	0.393456101	-0.141106359	-0.155059443	-0.545614112	0.451422354	0.286689791	-0.506096512	0.096433442	0.023644299	0.15107842	0.345969432	0.208622093	-0.169163897	-0.309859487	0.127139377	0.105930245	-0.524759242	-0.092868789	0.001220374	1.659056107	2.974412646	0.696396672	2.376290141	0.72457811	1.792519428	3.000325562	1.324064787	2.052816227	2.239685182	3.283764551	2.119243364	1.39101604	3.009440104	1.759165166	0.79316553	0.581981624	3.620755814	1.951272395	1.599419907
1	0.464545532	0.082229716	-0.190809328	-0.432831835	-0.427460261	0.004618268	-0.240267809	-0.247708446	-0.292057326	0.199965718	0.311650076	0.120116051	0.423993967	0.023539803	-0.064266852	0.429982861	0.300820167	-0.62813356	-0.141745381	0.30381864	1.239281891	1.79404116	1.47994205	1.715720682	1.382072212	1.069727259	1.058370991	1.59438333	1.036793904	2.347706218	2.323601416	1.164460246	1.674431062	2.207334258	1.680302552	1.291025394	0.825349061	1.270159154	1.843139742	2.096289311
1	0.169991386	-0.005997064	0.198564524	-0.020724549	-0.483750055	0.270993655	0.280669286	-0.369387521	-0.019310939	0.185911842	0.095660559	0.194955455	0.274341558	-0.250434756	-0.406315373	0.298166256	0.286997952	-0.724101114	-0.076356439	0.100125338	0.841533186	1.260385432	2.822338221	2.344066588	1.804493713	1.19636682	2.568792151	2.460696018	1.881291721	3.488350839	3.376041734	1.41149872	1.928923859	2.170147044	0.708244724	1.617101818	0.651534763	0.528279971	1.293026829	2.307422556
1	0.471438129	0.049352914	-0.076061318	-0.133111347	-0.359870516	0.225743265	0.138539767	-0.054297586	-0.231286762	0.002396334	0.140897163	0.005983277	0.336276838	-0.207271583	-0.38309619	0.311734049	0.371015912	-0.49308282	-0.184015273	0.068715747	2.785958027	2.697640246	1.462598667	2.315920659	0.61675753	0.723922883	1.17116013	3.618666888	0.451410275	1.959001556	3.263596875	0.731371631	2.338478973	1.753867348	0.213610002	1.388659896	1.156138326	2.208970302	0.688806875	1.423434959
1	0.567100471	0.485887221	-0.052889158	-0.292463174	-0.435853553	0.374236761	0.245812828	-0.263755819	-0.039570643	-0.211647005	-0.01569177	0.305223727	0.206481934	-0.410007899	-0.082973054	0.390400324	0.225737087	-0.696273858	-0.249379532	-0.050374889	2.076741572	3.237960718	0.977281956	1.742973151	0.5936777	1.138749866	1.896762847	1.872369662	1.36839556	2.08969619	2.709428989	1.045672796	1.124840738	1.826080082	3.240671153	1.449119645	0.768728459	2.175841215	0.941050942	1.64464938
1	0.659038336	0.091613547	-0.056013649	-0.176817722	-0.316551152	0.361982045	0.178833673	0.002723966	-0.208803612	-0.054149022	0.034651891	0.110458935	0.279865075	-0.404118595	-0.343485202	0.437695489	0.343331013	-0.728601631	-0.300731739	0.089078356	3.751832288	2.135366181	1.608716943	2.562336335	0.865145671	1.51881402	1.552287951	3.137234203	0.521181056	2.144034245	3.348132341	1.000123535	1.949886869	1.766252424	0.19613487	1.82522689	0.737580723	1.524109378	0.538321401	1.63240488
1	0.280034206	0.20078201	-0.034033613	-0.375933359	-0.350731931	0.313953265	0.031909716	-0.333839067	-0.02733106	0.049117665	0.12175052	0.206233255	0.371327181	-0.248355899	-0.264049162	0.220971676	0.298808074	-0.646296608	-0.000585343	0.186268473	1.30687362	2.008962745	1.710763543	0.827994654	1.431096488	1.285098768	0.903952352	3.009654295	1.895756443	2.8881003	2.793411411	1.873061262	1.257368821	1.725922697	1.735473556	1.229946488	1.035196795	0.893110543	1.981537392	2.251992447
1	0.725781729	-0.026847312	-0.084075813	-0.360245705	-0.300328484	0.476904577	0.131332569	-0.174349621	-0.400384258	-0.015982572	0.073447276	0.122925071	0.473764427	-0.46857008	-0.358298425	0.502319193	0.452762839	-0.758663754	-0.351874984	0.340383326	4.339546245	0.796044485	2.06107559	1.091266022	0.846684486	2.789449561	1.380257726	3.687868433	0.570828429	2.992336913	2.49149339	1.09485183	2.782627261	1.609346618	0.193707688	1.612813272	1.706465431	1.777404837	0.756389203	2.261867894
1	0.51684925	0.171877537	-0.074830142	-0.301678276	-0.364820574	0.190724435	0.08753137	-0.280929936	-0.30749106	0.030503025	0.138569489	0.298591921	0.328738745	-0.282660295	-0.160213476	0.45276742	0.395907856	-0.7989719	-0.245765011	0.20529962	2.408520795	2.668851199	1.062245888	2.306294575	0.633591313	0.980703038	1.64651666	3.052824407	0.645170158	2.984157395	2.876112481	2.227014059	1.662675589	2.520819934	2.404407987	1.583242525	1.291698821	1.026316864	1.439706897	2.530901878
