label	alphaticr.alphaticr	alphaticr.aromatic	alphaticr.postivecharger	alphaticr.negativecharger	alphaticr.uncharger	aromatic.alphaticr	aromatic.aromatic	aromatic.postivecharger	aromatic.negativecharger	aromatic.uncharger	postivecharger.alphaticr	postivecharger.aromatic	postivecharger.postivecharger	postivecharger.negativecharger	postivecharger.uncharger	negativecharger.alphaticr	negativecharger.aromatic	negativecharger.postivecharger	negativecharger.negativecharger	negativecharger.uncharger	uncharger.alphaticr	uncharger.aromatic	uncharger.postivecharger	uncharger.negativecharger	uncharger.uncharger
1	0.132653061	0.042857143	0.044897959	0.042857143	0.106122449	0.046938776	0.010204082	0.008163265	0.020408163	0.051020408	0.030612245	0.012244898	0.006122449	0.012244898	0.024489796	0.055102041	0.02244898	0.010204082	0.010204082	0.032653061	0.104081633	0.048979592	0.016326531	0.044897959	0.063265306
1	0.144654088	0.023060797	0.071278826	0.064989518	0.092243187	0.023060797	0.004192872	0.01048218	0.002096436	0.023060797	0.054507338	0.012578616	0.016771488	0.020964361	0.039832285	0.050314465	0.008385744	0.016771488	0.025157233	0.046121593	0.121593291	0.014675052	0.031446541	0.033542977	0.048218029
1	0.285472973	0.040540541	0.064189189	0.04222973	0.103040541	0.033783784	0.005067568	0.005067568	0.013513514	0.008445946	0.065878378	0.006756757	0.005067568	0.010135135	0.023648649	0.037162162	0.003378378	0.018581081	0.005067568	0.02027027	0.111486486	0.010135135	0.018581081	0.015202703	0.047297297
1	0.160849772	0.04400607	0.042488619	0.028831563	0.1107739	0.051593323	0.02124431	0.009104704	0.013657056	0.034901366	0.036418816	0.015174507	0.013657056	0.02124431	0.025796662	0.033383915	0.010622155	0.010622155	0.012139605	0.025796662	0.103186646	0.039453718	0.036418816	0.016691958	0.081942337
1	0.181208054	0.022371365	0.051454139	0.058165548	0.127516779	0.022371365	0.004474273	0.002237136	0.004474273	0.011185682	0.064876957	0	0.006711409	0.017897092	0.035794183	0.062639821	0.004474273	0.029082774	0.017897092	0.015659955	0.10738255	0.013422819	0.035794183	0.033557047	0.06935123
1	0.23690205	0.01594533	0.075170843	0.056947608	0.093394077	0.020501139	0.002277904	0.009111617	0.006833713	0.006833713	0.066059226	0.006833713	0.029612756	0.013667426	0.036446469	0.050113895	0.009111617	0.011389522	0.006833713	0.029612756	0.102505695	0.011389522	0.029612756	0.022779043	0.050113895
1	0.169197397	0.019522777	0.045553145	0.043383948	0.117136659	0.015184382	0.004338395	0.006507592	0.010845987	0.036876356	0.039045553	0.017353579	0.019522777	0.017353579	0.032537961	0.054229935	0.013015184	0.013015184	0.006507592	0.034707158	0.114967462	0.019522777	0.041214751	0.043383948	0.065075922
1	0.147347741	0.027504912	0.05697446	0.04518664	0.129666012	0.023575639	0.003929273	0.007858546	0.00589391	0.021611002	0.05108055	0.00589391	0.007858546	0.007858546	0.047151277	0.043222004	0.007858546	0.00589391	0.009823183	0.027504912	0.139489194	0.017681729	0.041257367	0.025540275	0.092337917
1	0.150197628	0.023715415	0.055335968	0.029644269	0.134387352	0.015810277	0.003952569	0.011857708	0.011857708	0.023715415	0.049407115	0.009881423	0.003952569	0.019762846	0.033596838	0.041501976	0.011857708	0.009881423	0.007905138	0.031620553	0.134387352	0.017786561	0.035573123	0.033596838	0.098814229
1	0.168859649	0.021929825	0.076754386	0.054824561	0.125	0.024122807	0	0.006578947	0.002192982	0.00877193	0.074561404	0.00877193	0.00877193	0.015350877	0.035087719	0.061403509	0.004385965	0.015350877	0.010964912	0.026315789	0.11622807	0.006578947	0.037280702	0.035087719	0.054824561
