label	hydrophobicity_PRAM900101.Tr1221	hydrophobicity_PRAM900101.Tr1331	hydrophobicity_PRAM900101.Tr2332	hydrophobicity_ARGP820101.Tr1221	hydrophobicity_ARGP820101.Tr1331	hydrophobicity_ARGP820101.Tr2332	hydrophobicity_ZIMJ680101.Tr1221	hydrophobicity_ZIMJ680101.Tr1331	hydrophobicity_ZIMJ680101.Tr2332	hydrophobicity_PONP930101.Tr1221	hydrophobicity_PONP930101.Tr1331	hydrophobicity_PONP930101.Tr2332	hydrophobicity_CASG920101.Tr1221	hydrophobicity_CASG920101.Tr1331	hydrophobicity_CASG920101.Tr2332	hydrophobicity_ENGD860101.Tr1221	hydrophobicity_ENGD860101.Tr1331	hydrophobicity_ENGD860101.Tr2332	hydrophobicity_FASG890101.Tr1221	hydrophobicity_FASG890101.Tr1331	hydrophobicity_FASG890101.Tr2332	normwaalsvolume.Tr1221	normwaalsvolume.Tr1331	normwaalsvolume.Tr2332	polarity.Tr1221	polarity.Tr1331	polarity.Tr2332	polarizability.Tr1221	polarizability.Tr1331	polarizability.Tr2332	charge.Tr1221	charge.Tr1331	charge.Tr2332	secondarystruct.Tr1221	secondarystruct.Tr1331	secondarystruct.Tr2332	solventaccess.Tr1221	solventaccess.Tr1331	solventaccess.Tr2332
1	0.283673469	0.173469388	0.218367347	0.216326531	0.326530612	0.12244898	0.146938776	0.359183673	0.073469388	0.185714286	0.340816327	0.136734694	0.346938776	0.179591837	0.065306122	0.3	0.210204082	0.165306122	0.144897959	0.271428571	0.255102041	0.306122449	0.228571429	0.157142857	0.234693878	0.242857143	0.242857143	0.302040816	0.220408163	0.165306122	0.102040816	0.016326531	0.224489796	0.191836735	0.214285714	0.267346939	0.281632653	0.255102041	0.175510204
1	0.203354298	0.247379455	0.211740042	0.243186583	0.238993711	0.192872117	0.19706499	0.299790356	0.119496855	0.146750524	0.360587002	0.1278826	0.402515723	0.119496855	0.073375262	0.184486373	0.291404612	0.15932914	0.136268344	0.360587002	0.161425577	0.270440252	0.1278826	0.215932914	0.203354298	0.285115304	0.174004193	0.253668763	0.115303983	0.22851153	0.209643606	0.035639413	0.20754717	0.285115304	0.234800839	0.125786164	0.314465409	0.209643606	0.136268344
1	0.199324324	0.157094595	0.287162162	0.246621622	0.211148649	0.238175676	0.133445946	0.361486486	0.087837838	0.199324324	0.204391892	0.25	0.402027027	0.092905405	0.0625	0.222972973	0.197635135	0.239864865	0.109797297	0.283783784	0.211148649	0.317567568	0.158783784	0.180743243	0.27027027	0.184121622	0.185810811	0.331081081	0.14527027	0.194256757	0.163851351	0.025337838	0.135135135	0.202702703	0.277027027	0.10472973	0.273648649	0.236486486	0.08277027
1	0.150227618	0.265553869	0.227617602	0.192716237	0.315629742	0.172989378	0.157814871	0.35660091	0.125948407	0.106221548	0.371775417	0.121396055	0.291350531	0.210925645	0.113808801	0.128983308	0.320182094	0.166919575	0.127465857	0.295902883	0.206373293	0.227617602	0.138088012	0.242792109	0.192716237	0.300455235	0.118361153	0.213960546	0.124430956	0.256449165	0.150227618	0.02276176	0.138088012	0.261001517	0.216995448	0.169954476	0.308042489	0.186646434	0.107738998
1	0.219239374	0.225950783	0.219239374	0.272930649	0.194630872	0.172259508	0.18344519	0.288590604	0.073825503	0.225950783	0.29082774	0.167785235	0.393736018	0.082774049	0.046979866	0.205816555	0.270693512	0.174496644	0.138702461	0.310961969	0.165548098	0.322147651	0.165548098	0.176733781	0.210290828	0.248322148	0.205816555	0.306487696	0.14541387	0.196868009	0.176733781	0.046979866	0.178970917	0.201342282	0.277404922	0.138702461	0.310961969	0.172259508	0.134228188
1	0.28929385	0.164009112	0.207289294	0.280182232	0.161731207	0.202733485	0.179954442	0.277904328	0.072892938	0.232346241	0.209567198	0.189066059	0.428246014	0.066059226	0.034168565	0.314350797	0.193621868	0.16856492	0.132118451	0.339407745	0.154897494	0.316628702	0.179954442	0.143507973	0.211845103	0.186788155	0.275626424	0.328018223	0.16856492	0.154897494	0.209567198	0.025056948	0.175398633	0.25284738	0.207289294	0.107061503	0.307517084	0.193621868	0.145785877
1	0.264642082	0.193058568	0.203904555	0.277657267	0.240780911	0.140997831	0.147505423	0.314533623	0.045553145	0.214750542	0.30802603	0.15835141	0.464208243	0.067245119	0.032537961	0.253796095	0.20824295	0.162689805	0.132321041	0.344902386	0.186550976	0.32537961	0.151843818	0.188720174	0.214750542	0.251626898	0.210412148	0.31670282	0.151843818	0.188720174	0.173535792	0.030368764	0.199566161	0.238611714	0.26681128	0.10845987	0.286334056	0.177874187	0.171366594
1	0.26129666	0.218074656	0.208251473	0.304518664	0.241650295	0.137524558	0.174852652	0.300589391	0.078585462	0.227897839	0.324165029	0.133595285	0.430255403	0.106090373	0.05108055	0.247544204	0.265225933	0.161100196	0.123772102	0.371316306	0.16502947	0.328094303	0.15324165	0.178781925	0.200392927	0.257367387	0.237721022	0.316306483	0.139489194	0.192534381	0.190569745	0.013752456	0.155206287	0.263261297	0.222003929	0.15324165	0.324165029	0.198428291	0.155206287
1	0.250988142	0.213438735	0.219367589	0.28458498	0.223320158	0.164031621	0.179841897	0.296442688	0.063241107	0.223320158	0.300395257	0.16798419	0.45256917	0.09486166	0.023715415	0.264822134	0.239130435	0.166007905	0.134387352	0.337944664	0.209486166	0.322134387	0.175889328	0.169960474	0.221343874	0.247035573	0.229249012	0.324110672	0.154150198	0.191699605	0.175889328	0.0256917	0.164031621	0.203557312	0.258893281	0.148221344	0.326086957	0.191699605	0.138339921
1	0.287280702	0.206140351	0.195175439	0.302631579	0.179824561	0.184210526	0.171052632	0.278508772	0.081140351	0.25	0.26754386	0.155701754	0.436403509	0.096491228	0.043859649	0.280701754	0.247807018	0.153508772	0.13377193	0.364035088	0.168859649	0.296052632	0.182017544	0.182017544	0.192982456	0.230263158	0.263157895	0.300438596	0.164473684	0.199561404	0.228070175	0.028508772	0.186403509	0.225877193	0.278508772	0.10745614	0.333333333	0.184210526	0.160087719
