label	pse_pssm0	pse_pssm1	pse_pssm2	pse_pssm3	pse_pssm4	pse_pssm5	pse_pssm6	pse_pssm7	pse_pssm8	pse_pssm9	pse_pssm10	pse_pssm11	pse_pssm12	pse_pssm13	pse_pssm14	pse_pssm15	pse_pssm16	pse_pssm17	pse_pssm18	pse_pssm19	pse_pssm20	pse_pssm21	pse_pssm22	pse_pssm23	pse_pssm24	pse_pssm25	pse_pssm26	pse_pssm27	pse_pssm28	pse_pssm29	pse_pssm30	pse_pssm31	pse_pssm32	pse_pssm33	pse_pssm34	pse_pssm35	pse_pssm36	pse_pssm37	pse_pssm38	pse_pssm39
1	0.416275335	-0.340631919	0.634468265	0.664361503	-1.37887567	-0.029482996	-0.146788684	0.72194116	-0.121822479	-0.030777573	-0.208558588	-0.404122742	-0.270515563	-0.065726956	-0.460780215	0.492411608	0.644581713	-0.242209426	0.169060312	-0.042807085	1.064985163	0.891664431	1.554530228	2.421318564	0.69923864	0.778330347	0.88089704	2.41302951	1.127895352	1.762409479	1.484093615	0.61446416	0.966658239	1.975402278	1.443617212	0.997018503	1.441632304	2.508764841	1.659909679	0.993453226
1	0.584824414	0.481710938	-0.016585539	-0.02659333	-1.141910439	0.653742469	0.374688041	-0.333961832	-0.114387611	0.135706533	0.201061749	0.213860469	0.110455654	-0.405939523	-0.437447674	0.302284406	0.322005112	-0.784268729	-0.311153087	0.191907979	1.331405791	1.887717127	0.933543824	2.076016665	0.598848397	1.431289105	2.137268873	1.963334104	0.913354095	2.424516008	2.526215913	1.127383201	1.061115038	1.811006996	1.942749234	0.816983547	0.727910016	1.374188811	1.321632693	1.822461073
1	0.656905053	0.202318031	-0.116955835	-0.260218286	-0.682370269	0.241792811	-0.095022406	0.013606654	-0.109413093	0.151570826	0.281203221	-0.169361891	0.362161094	-0.118296773	-0.405643114	0.333814239	0.314476946	-0.615334788	-0.278080536	0.292848115	1.110285254	2.110796656	1.155692404	1.877304149	0.76001614	1.308927859	1.407004177	2.18931019	1.045815296	2.202686558	2.478884757	0.989299082	1.330074517	1.886986597	1.519806803	1.043396098	0.887122376	1.788618939	1.198410799	1.620578765
1	0.073817459	-0.131515795	0.363047373	-0.261889594	-0.640556071	0.106217823	-0.057580999	-0.366368724	-0.211497318	0.576155157	0.340587143	0.226482994	0.245955503	0.274873776	-0.733410568	0.358992645	0.19567968	-0.664915109	0.181802156	0.124122468	0.797093831	1.447923454	1.60477675	1.874554979	1.119079512	1.129136436	1.427342363	1.963224964	0.943134226	2.262989266	2.013144503	1.386366874	1.241737249	1.9855949	1.41626164	1.138170563	0.789643559	1.759275682	1.295267447	1.513107582
1	0.563427602	0.429903481	0.022757354	0.014433662	-1.15786884	0.648473034	0.390836608	-0.312103161	-0.104347844	0.122849642	0.154255396	0.175146806	0.139258944	-0.418541466	-0.403749062	0.308911721	0.333461097	-0.783872804	-0.320481076	0.197248906	1.451215963	1.83285527	0.944665976	2.078929758	0.635446642	1.352613591	2.106852031	2.008450493	0.962886027	2.360082964	2.551180971	1.168239219	1.16502648	1.717933521	1.794618913	0.890651391	0.818701142	1.567176467	1.264979874	1.906371667
1	0.591194561	0.495374835	-0.03446018	-0.026517536	-1.112263786	0.655051381	0.356222435	-0.321900906	-0.111431351	0.109200216	0.203115032	0.209096231	0.07998554	-0.395965864	-0.429173453	0.327728189	0.320389533	-0.84997378	-0.299316065	0.233644967	1.409373346	1.793837485	0.845331325	2.037695067	0.582266875	1.355338722	2.001352093	1.99571918	0.968679811	2.240858964	2.420378092	1.125947235	1.064550094	1.634956922	2.054586671	0.799704401	0.723683662	1.364250101	1.391864881	1.838168647
1	0.790157354	0.421077966	0.260002422	0.026722783	-1.132575026	0.679307971	0.27927712	-0.207225586	-0.277887091	-0.099030767	0.177658161	0.019052295	-0.081226225	-0.391757513	-0.619413755	0.471165068	0.404454113	-0.761545231	-0.072614316	0.114400259	1.778713887	1.729170265	1.867285808	2.342285607	0.4837223	1.606927291	1.446396062	1.44528939	0.795166624	1.783843391	2.352047267	1.026728789	0.826515483	1.602805026	1.094351247	1.150477524	0.909192289	1.990641615	1.909403006	1.706279396
1	0.798269164	0.461827802	0.190849746	0.018497174	-1.124375653	0.664131189	0.256810831	-0.228201995	-0.314526907	-0.070413125	0.215691436	0.032076807	-0.034509095	-0.407841142	-0.589610133	0.45924772	0.386477907	-0.725415485	-0.121588303	0.132602061	1.686602173	1.812930065	1.770228601	2.289382746	0.698878235	1.557709579	1.476097781	1.622122641	0.917968165	1.970277585	2.259784543	1.017308504	0.923807895	1.720006245	1.353192197	1.206939411	0.861713809	1.950485239	1.814949759	1.717523689
1	0.868573308	0.433044415	0.177103357	0.064104873	-1.154308901	0.624691563	0.266535318	-0.204776466	-0.350850144	-0.094387468	0.203838784	0.003822587	-0.067497984	-0.453997419	-0.459858179	0.47915916	0.387368704	-0.764789995	-0.111715848	0.153940335	1.660338441	1.757446865	1.567071327	2.252193372	0.669286688	1.346912108	1.409794139	1.426368838	0.813260071	1.724642564	2.011424991	0.937038447	0.890928791	1.468638205	1.372936553	0.991958049	0.826374814	2.075381365	1.79435376	1.614341742
1	0.59719333	0.462049901	-0.002780074	-0.037036629	-1.129457824	0.656553712	0.371389371	-0.310239999	-0.126877631	0.117512527	0.191012343	0.190927601	0.095984314	-0.445311834	-0.363121819	0.333535013	0.357874344	-0.810171675	-0.359096802	0.21006183	1.44404339	1.88811439	0.955016688	2.082324855	0.615635913	1.388804499	2.092685308	1.924046636	0.882676717	2.428383525	2.579773688	1.206615655	1.0739285	1.757991362	1.990959849	0.838774853	0.809478309	1.403348157	1.276988797	1.91713583
